DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,24.37831678,44.47682084,457.9423023,1.080657456,735.7725,17658.54,3109.054817,74617.3156,4503.2624,108078.2976,317.21625,7613.19,7929.533467,190308.8032,4.96606569,16
1,26.33161256,58.32889899,445.5031556,1.871763265,627.79625,15067.11,0,0,8322.265,199734.36,0,0,8322.265,199734.36,5.316769815,16
2,26.59244581,51.253291,438.3640171,1.869045641,673.3420833,16160.21,0,0,8356.74,200561.76,0,0,8356.74,200561.76,6.321505888,16
3,26.26972213,54.76656387,427.2451389,1.898183286,686.6866667,16480.48,0,0,8322.265,199734.36,0,0,8322.265,199734.36,7.414728459,16
4,25.64533415,56.17712829,420.84867,1.97267134,676.9845833,16247.63,0,0,8329.16,199899.84,0,0,8329.16,199899.84,9.016775246,16
5,26.36923601,60.74773663,478.7604167,2.073776094,674.8925,16197.42,0,0,8342.95,200230.8,0,0,8342.95,200230.8,11.84015336,16
6,26.24407797,62.8358879,481.0175527,2.145766819,672.5895833,16142.15,0,0,8336.055,200065.32,0,0,8336.055,200065.32,14.97498413,16
7,25.83750462,64.43279095,525.24375,2.196793172,683.0895833,16394.15,0,0,8356.74,200561.76,0,0,8356.74,200561.76,20.01714376,16
8,25.79445291,63.71254678,424.0944444,2.241755921,670.9820833,16103.57,0,0,8329.16,199899.84,0,0,8329.16,199899.84,24.97006881,16
9,24.67102765,63.93000029,438.4592808,2.302393506,676.5570833,16237.37,0,0,6922.58,166141.92,0,0,6922.58,166141.92,31.74959238,16
10,26.50280838,65.68376655,406.3027778,2.177297192,671.4095833,16113.83,0,0,8329.16,199899.84,0,0,8329.16,199899.84,39.31568087,16
11,25.72142833,69.39590593,392.1196382,2.217759692,685.5579167,16453.39,0,0,8342.95,200230.8,0,0,8342.95,200230.8,48.4160422,16
12,25.41147255,71.54878608,400.9061484,2.262821527,658.9316667,15814.36,0,0,8349.845,200396.28,0,0,8349.845,200396.28,57.67923517,16
13,25.87756535,72.35680128,423.2621394,2.265601459,679.7720833,16314.53,0,0,8349.845,200396.28,0,0,8349.845,200396.28,72.75554422,16
14,25.68473606,70.49014628,385.2623327,2.30695899,705.05875,16921.41,0,0,8329.16,199899.84,0,0,8329.16,199899.84,80.89623042,16
15,26.38651923,70.48020901,443.6874989,2.364295843,667.12875,16011.09,0,0,8349.845,200396.28,0,0,8349.845,200396.28,92.67014708,16
16,25.51518296,70.54551756,438.5067668,2.493398843,685.8258333,16459.82,0,0,8349.845,200396.28,0,0,8349.845,200396.28,116.6783333,16
17,25.36569233,69.43825591,387.1274165,2.637422363,676.44875,16234.77,0,0,7743.085,185834.04,554.8020833,13315.25,8297.887083,199149.29,124.1306518,16
18,25.41440965,77.12671156,393.1835087,2.821944263,664.2841667,15942.82,0,0,0,0,7904.297917,189703.15,7904.297917,189703.15,131.5320503,16
19,25.0896402,75.98519861,388.9468652,1.549047805,693.3275,16639.86,0,0,0,0,7891.24375,189389.85,7891.24375,189389.85,140.7119375,16
20,25.35360944,76.45680238,434.9986135,1.485034374,661.6620833,15879.89,0,0,0,0,7878.189583,189076.55,7878.189583,189076.55,145.5461472,16
21,25.4676249,77.41604847,455.2801924,2.461715856,673.5529167,16165.27,0,0,0,0,7910.825,189859.8,7910.825,189859.8,157.5617156,16
22,25.19369031,78.90320858,450.1167255,2.485082363,678.7004167,16288.81,0,0,0,0,7904.297917,189703.15,7904.297917,189703.15,159.2138883,16
23,25.49270825,79.20909718,485.8020833,2.325607363,677.1954167,16252.69,0,0,0,0,7878.189583,189076.55,7878.189583,189076.55,159.2833471,16
24,24.80659713,78.17611111,414.5506944,2.405859856,679.0195833,16296.47,0,0,0,0,7871.6625,188919.9,7871.6625,188919.9,159.3963592,16
25,25.09215264,79.08895832,414.0277778,2.437061288,667.9325,16030.38,0,0,0,0,7917.352083,190016.45,7917.352083,190016.45,159.3367183,16
26,25.43645824,80.32597224,435.2195975,2.402056503,677.3608333,16256.66,0,0,0,0,7878.189583,189076.55,7878.189583,189076.55,159.6214885,16
27,24.87486102,78.99423612,427.7266667,2.609695894,665.2475,15965.94,0,0,0,0,7898.227729,189557.4655,7898.227729,189557.4655,160.5192074,16
