DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,26.60679371,42.86181141,656.6372411,0.498005613,25.98208333,623.57,11409.49375,273827.85,2964.85,71156.4,2806.645833,67359.5,17180.98958,412343.75,1.473440604,21
1,28.45027768,48.05770833,640.3798611,1.21676218,46.71416667,1121.14,11383.70958,273209.03,6088.285,146118.84,5776.46875,138635.25,23248.46333,557963.12,1.51830761,21
2,27.77166655,47.97472224,602.3166667,1.215549257,51.96416667,1247.14,11418.64713,274047.5311,6106.97045,146567.2908,5781.102979,138746.4715,23306.72056,559361.2934,1.611406375,21
3,26.21331326,44.56855104,560.3354167,1.213377979,46.71416667,1121.14,11416.32655,273991.8373,6098.83435,146372.0244,5786.455188,138874.9245,23301.61609,559238.7862,1.705317444,21
4,25.46749996,50.05424082,532.7368056,1.225711962,60.58875,1454.13,11396.60167,273518.44,6095.18,146284.32,5769.941667,138478.6,23261.72333,558281.36,1.990048972,21
5,25.11694433,49.1324305,521.9604167,1.231046534,61.92833333,1486.28,11383.70958,273209.03,6081.39,145953.36,5763.414583,138321.95,23228.51417,557484.34,2.527383748,21
6,25.17569432,52.67194681,638.8794138,1.23260833,30.69625,736.71,11411.29864,273871.1674,6109.9353,146638.4472,5777.382542,138657.181,23298.61648,559166.7956,3.29011313,21
7,25.53604541,61.47470103,612.4689222,1.228169528,42,1008,10721.57218,257317.7324,5727.2628,137454.3072,5421.6565,130119.756,21870.49148,524891.7956,4.08316418,21
8,25.99082076,58.52932443,510.9001263,1.222709432,36.21416667,869.14,11383.70958,273209.03,6088.285,146118.84,5763.414583,138321.95,23235.40917,557649.82,4.298050611,21
9,25.72699855,53.41446685,636.4269185,1.22906179,57.48208333,1379.57,11396.60167,273518.44,6095.18,146284.32,5769.941667,138478.6,23261.72333,558281.36,4.322419819,21
10,26.34456088,60.11098987,603.9021422,1.224008964,41.73208333,1001.57,11421.74123,274121.7895,6101.73025,146441.526,5776.142396,138627.4175,23299.61388,559190.733,5.533892403,21
11,26.08002818,60.44201392,514.2,1.22532606,56.94625,1366.71,11422.64368,274143.4482,6109.1079,146618.5896,5776.860375,138644.649,23308.61195,559406.6868,5.44413266,21
12,26.11569439,61.70173609,498.8881944,1.222930515,61.92833333,1486.28,11416.06871,273985.6491,6103.52295,146484.5508,5777.839438,138668.1465,23297.4311,559138.3464,6.004298846,21
13,26.37569426,65.08437495,581.1354167,1.218389962,35.94625,862.71,11417.8736,274028.9665,6113.45175,146722.842,5780.711354,138737.0725,23312.03671,559488.881,6.081308952,21
14,26.25874812,66.37759758,555.2840833,1.21266347,30.96416667,743.14,10661.75292,255882.07,5702.165,136851.96,5397.897917,129549.55,21761.81583,522283.58,6.339172871,21
15,27.02906647,68.28498933,557.3264831,1.206198999,50.35666667,1208.56,11409.49375,273827.85,6102.075,146449.8,5776.46875,138635.25,23288.0375,558912.9,6.926151379,21
16,27.91803391,71.44489929,637.0038314,1.193395822,51.96416667,1247.14,11396.60167,273518.44,6095.18,146284.32,5769.941667,138478.6,23261.72333,558281.36,7.158577895,21
17,28.09916655,75.05708326,673.4541667,1.178772243,61.92833333,1486.28,11396.60167,273518.44,6095.18,146284.32,5769.941667,138478.6,23261.72333,558281.36,7.259689172,21
18,28.23937498,78.44395834,575.3569444,1.154904368,36.21416667,869.14,11383.70958,273209.03,6102.075,146449.8,5776.46875,138635.25,23262.25333,558294.08,7.694597822,21
19,28.45180559,79.8256249,501.1534722,1.114816563,56.41041667,1353.85,11383.70958,273209.03,6088.285,146118.84,5763.414583,138321.95,23235.40917,557649.82,9.850825117,21
20,27.43729156,80.34715279,521.7569444,1.066756193,51.96416667,1247.14,11409.75159,273834.0382,6102.2129,146453.1096,5776.599292,138638.383,23288.56378,558925.5308,10.01923041,21
21,26.95543187,80.54216096,579.9444918,1.01539962,41.19625,988.71,10816.45792,259594.99,5778.01,138672.24,5469.695833,131272.7,22064.16375,529539.93,11.06600317,21
22,27.47055535,80.6825695,474.5180556,0.98571249,47.25,1134,11409.49375,273827.85,6102.075,146449.8,5769.941667,138478.6,23281.51042,558756.25,11.11952594,21
23,26.22548598,81.3246528,478.9805556,0.966576429,55.60666667,1334.56,11419.16281,274059.9075,6107.24625,146573.91,5774.836979,138596.0875,23301.24604,559229.905,11.78301183,21
24,25.97094901,80.95745444,454.458908,0.948085373,57.21416667,1373.14,11383.70958,273209.03,6102.075,146449.8,5763.414583,138321.95,23249.19917,557980.78,15.17743303,21
25,25.89396417,81.24332971,481.346516,0.922075523,34.60666667,830.56,11396.60167,273518.44,6095.18,146284.32,5763.414583,138321.95,23255.19625,558124.71,18.09389046,21
26,26.62211271,81.02638881,468.1270833,0.892220984,57.21416667,1373.14,11396.60167,273518.44,6095.18,146284.32,5763.414583,138321.95,23255.19625,558124.71,21.8954465,21
27,26.68326369,81.8285417,495.0596869,0.889803902,56.94625,1366.71,11402.27418,273654.5804,6098.2138,146357.1312,5779.340667,138704.176,23279.82865,558715.8876,22.93139292,21
