DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,23.08857835,19.44550957,510.8877312,2.282341508,427.8966667,10269.52,8585.225054,206045.4013,0,0,0,0,8585.225054,206045.4013,1.332344237,9
1,23.34899574,22.02309001,465.9934313,2.291072342,546.1504167,13107.61,8585.225054,206045.4013,0,0,0,0,8585.225054,206045.4013,1.604531877,9
2,23.3576591,20.08648781,454.7367033,2.314463492,628.8795833,15093.11,8585.225054,206045.4013,0,0,0,0,8585.225054,206045.4013,2.073716673,9
3,22.87239737,20.95735173,456.1980249,2.33746286,880.55,21133.2,8585.225054,206045.4013,0,0,0,0,8585.225054,206045.4013,3.041351381,9
4,22.94059784,24.01134299,488.3490702,2.359526345,996.7175,23921.22,8585.225054,206045.4013,0,0,0,0,8585.225054,206045.4013,3.443069885,9
5,22.8776436,24.45520115,468.4775383,2.377329914,760.9054167,18261.73,12150.01502,291600.3604,0,0,0,0,12150.01502,291600.3604,3.790802042,9
6,22.92041657,26.30979169,488.6430556,2.397590545,796.90875,19125.81,12144.9871,291479.6905,0,0,0,0,12144.9871,291479.6905,4.164689464,9
7,23.044861,29.82451387,498.4375,2.416653807,865.9741667,20783.38,12153.36696,291680.807,0,0,0,0,12153.36696,291680.807,5.121922441,9
8,22.94763878,36.05355345,462.4375,2.442538537,860.9920833,20663.81,12157.49243,291779.8182,0,0,0,0,12157.49243,291779.8182,6.153041403,9
9,22.93569435,43.6988472,458.7958333,2.462712933,874.92375,20998.17,12165.61444,291974.7465,0,0,0,0,12165.61444,291974.7465,6.71028629,9
10,22.91756935,48.90505483,447.8958333,2.487747994,961.8883333,23085.32,12151.30423,291631.3014,0,0,0,0,12151.30423,291631.3014,9.244473035,9
11,22.93416658,50.80440253,452.8645833,2.520612698,930.2229167,22325.35,12152.46451,291659.1483,0,0,0,0,12152.46451,291659.1483,12.75879189,9
12,22.58423603,52.15431943,444.6416667,2.575616347,750.7758333,18018.62,12159.813,291835.512,0,0,0,0,12159.813,291835.512,18.77860637,9
13,22.43854159,54.70659714,429.5756944,2.636570726,872.6720833,20944.13,12147.82336,291547.7607,0,0,0,0,12147.82336,291547.7607,18.87662843,9
14,22.38194434,57.22131943,421.2041667,2.717237489,908.5729167,21805.75,12148.59689,291566.3253,0,0,0,0,12148.59689,291566.3253,22.23695654,9
15,22.33972216,60.83533328,420.4305556,2.823698812,938.3116667,22519.48,12164.06739,291937.6173,0,0,0,0,12164.06739,291937.6173,25.62703723,9
16,22.32059196,64.71803209,422.7523305,2.948309523,990.8233333,23779.76,12147.56552,291541.5725,0,0,0,0,12147.56552,291541.5725,29.47539659,9
17,22.29180546,70.43118053,414.5036111,3.101665105,715.8954167,17181.49,12137.25185,291294.0445,0,0,0,0,12137.25185,291294.0445,34.75980401,9
18,22.23652764,71.84593922,417.3597551,3.292003526,718.46625,17243.19,12137.63862,291303.3268,0,0,0,0,12137.63862,291303.3268,40.75514942,9
19,22.21798603,72.50537277,417.1551718,2.885043979,835.91625,20061.99,12165.74336,291977.8406,0,0,0,0,12165.74336,291977.8406,44.18182085,9
20,22.20292831,72.55074589,416.0114995,1.089070317,927.11625,22250.79,12155.42969,291730.3126,0,0,0,0,12155.42969,291730.3126,57.87470639,9
21,22.06222212,71.55688895,409.0020833,0.122370049,677.2641667,16254.34,12159.03948,291816.9474,0,0,0,0,12159.03948,291816.9474,67.48122215,9
22,22.07041657,70.60290954,417.2951389,0.044259661,802.2670833,19254.41,12167.29041,292014.9698,0,0,0,0,12167.29041,292014.9698,67.84018765,9
23,22.10805547,63.59336108,436.496875,0.044971216,946.08125,22705.95,12139.83027,291355.9265,0,0,0,0,12139.83027,291355.9265,70.75300915,9
24,22.27138879,50.47902779,479.9826389,0.044050672,980.6425,23535.42,12150.5307,291612.7368,0,0,0,0,12150.5307,291612.7368,77.43402081,9
25,22.37749989,31.14256948,512.9138889,0.042955474,603.0570833,14473.37,12155.42969,291730.3126,0,0,0,0,12155.42969,291730.3126,78.20837942,9
26,20.55770826,28.67666666,524.6667361,0.041979697,450.2420833,10805.81,12150.65962,291615.8309,0,0,0,0,12150.65962,291615.8309,80.21768657,9
27,18.96173605,32.64347223,526.7125,0.041915509,450.2420833,10805.81,12136.22049,291269.2917,0,0,0,0,12136.22049,291269.2917,85.12165628,9
