DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,25.32180547,52.52496668,671.7423611,2.94081808,92.55,2221.2,0,0,2433.1076,58394.5824,2303.277167,55278.652,4736.384767,113673.2344,1.05117766,2
1,23.34979155,49.66614739,617.6694444,3.040906636,92.55,2221.2,0,0,2429.86695,58316.8068,2300.209438,55205.0265,4730.076388,113521.8333,1.220451721,2
2,21.12348007,41.45382315,617.7569444,3.078040726,92.55,2221.2,0,0,2433.45235,58402.8564,2303.603521,55286.4845,4737.055871,113689.3409,1.333023999,2
3,24.81868046,50.66045403,633.1541667,3.140258975,92.55,2221.2,0,0,2433.03865,58392.9276,2303.211896,55277.0855,4736.250546,113670.0131,1.453505508,2
4,25.96986089,55.91750003,664.4305556,3.172048163,92.55,2221.2,0,0,2433.31445,58399.5468,2303.472979,55283.3515,4736.787429,113682.8983,1.61264165,2
5,26.15319423,57.77054009,645.8583333,3.240835694,92.55,2221.2,0,0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,1.80378507,2
6,25.28652775,54.77873635,627.7555556,3.311499584,92.55,2221.2,0,0,2433.2455,58397.892,2303.407708,55281.785,4736.653208,113679.677,2.286577084,2
7,26.78708316,54.03326383,617.4854167,3.331929234,92.55,2221.2,0,0,2432.90075,58389.618,2303.081354,55273.9525,4735.982104,113663.5705,2.816167314,2
8,26.69333326,61.87562503,598.25625,3.424710299,92.55,2221.2,0,0,2433.17655,58396.2372,2303.342438,55280.2185,4736.518988,113676.4557,3.402026749,2
9,26.92770819,62.76805543,595.7645833,3.48215618,92.55,2221.2,0,0,2433.31445,58399.5468,2303.472979,55283.3515,4736.787429,113682.8983,4.168908656,2
10,27.95102772,62.67930555,630.41875,3.51322595,92.55,2221.2,0,0,2432.9697,58391.2728,2303.146625,55275.519,4736.116325,113666.7918,4.995594339,2
11,28.2139582,60.04763867,606.9604167,3.586605369,92.55,2221.2,0,0,2433.1076,58394.5824,2303.277167,55278.652,4736.384767,113673.2344,5.813194195,2
12,26.60437489,64.79625002,624.06875,3.734733383,92.55,2221.2,0,0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,7.106296793,2
13,25.65986106,65.16402767,635.9694444,3.879449157,92.55,2221.2,0,0,2433.2455,58397.892,2303.407708,55281.785,4736.653208,113679.677,8.696228911,2
14,25.15367362,66.67670707,620.4361111,3.986946181,92.55,2221.2,0,0,2433.2455,58397.892,2303.407708,55281.785,4736.653208,113679.677,10.21616007,2
15,29.23368041,68.31812514,590.7340278,4.026266168,92.55,2221.2,0,0,2433.17655,58396.2372,2303.342438,55280.2185,4736.518988,113676.4557,12.46939411,2
16,28.37958267,72.37774317,581.2173611,4.260431253,92.55,2221.2,0,0,2433.17655,58396.2372,2303.342438,55280.2185,4736.518988,113676.4557,14.81941848,2
17,24.94636794,77.21972922,593.1368056,4.614930057,92.55,2221.2,0,0,2432.8318,58387.9632,2302.950813,55270.8195,4735.782613,113658.7827,17.97028462,2
18,26.38381942,75.55722207,617.0645833,4.770578666,92.55,2221.2,0,0,2433.5213,58404.5112,2303.734063,55289.6175,4737.255363,113694.1287,21.65757487,2
19,27.87993053,73.09798606,582.00625,4.992004259,92.55,2221.2,0,0,2433.6592,58407.8208,2303.734063,55289.6175,4737.393263,113697.4383,26.90897974,2
20,26.85805542,78.47418054,575.4520833,4.890871883,92.55,2221.2,0,0,2433.45235,58402.8564,2303.603521,55286.4845,4737.055871,113689.3409,31.10265224,2
21,26.84444433,79.95892385,603.8052083,2.982543226,92.55,2221.2,0,0,2433.3834,58401.2016,2303.53825,55284.918,4736.92165,113686.1196,33.10082147,2
22,28.22326379,79.94413198,583.6527778,1.329912672,92.55,2221.2,0,0,2432.76285,58386.3084,2303.016083,55272.386,4735.778933,113658.6944,41.61729475,2
23,27.31604161,79.44131917,560.5979167,0.098185414,92.55,2221.2,0,0,2433.31445,58399.5468,2303.472979,55283.3515,4736.787429,113682.8983,48.83608171,2
24,25.67316652,74.63769879,560.89,0,92.55,2221.2,0,0,2433.59025,58406.166,2303.799333,55291.184,4737.389583,113697.35,52.80172738,2
25,25.80715275,76.63927109,617.4930556,0,92.55,2221.2,0,0,2432.48705,58379.6892,2302.689729,55264.5535,4735.176779,113644.2427,55.37398799,2
26,25.88513889,76.59579889,618.9076389,0,92.55,2221.2,0,0,2432.48705,58379.6892,2302.689729,55264.5535,4735.176779,113644.2427,56.77197545,2
27,25.88513889,76.59579889,618.9076389,0,92.55,2221.2,0,0,2432.48705,58379.6892,2302.689729,55264.5535,4735.176779,113644.2427,65.50538391,2
