DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,17.51632999,52.77261646,902.1069915,1.696655788,53.39458333,1281.47,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,0.685390812,3
1,17.51632999,52.77261646,902.1069915,1.696655788,53.39458333,1281.47,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.337353039,3
2,17.36073329,53.20366318,970.3311141,1.714184496,43.32791667,1039.87,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.578359876,3
3,18.1509134,51.73374313,757.2708343,1.72964962,17.99583333,431.9,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.851882565,3
4,16.75184803,51.08165734,556.5522619,1.76256314,25.70833333,617,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,1.968095728,3
5,16.67331817,49.79366867,448.0229832,1.77878024,30.58208333,733.97,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,2.586134271,3
6,18.54112773,47.13805915,762.9321694,1.768951967,35.45583333,850.94,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,2.855688264,3
7,18.30312974,46.11775533,903.6682588,1.787006095,42.09666667,1010.32,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,3.475047555,3
8,18.7038888,46.96791665,986.7569444,1.802134791,46.7025,1120.86,5789.318942,138943.6546,581.73115,13961.5476,975.8642292,23420.7415,7346.914321,176325.9437,4.075196532,3
9,18.84725142,48.08292063,1010.572537,1.815145467,37.22291667,893.35,8603.918575,206494.0458,729.491,17507.784,1246.607646,29918.5835,10580.01722,253920.4133,4.466143218,3
10,19.60048605,49.58051121,983.9638889,1.827550368,45.20333333,1084.88,8598.761742,206370.2818,730.11155,17522.6772,1243.735729,29849.6575,10572.60902,253742.6165,5.03873507,3
11,20.38602898,48.38034924,635.2402059,1.83963646,51.30833333,1231.4,8613.071954,206713.7269,731.07685,17545.8444,1244.453708,29866.889,10588.60251,254126.4603,5.974833058,3
12,20.06291651,48.30562487,640.5979167,1.867632405,48.04208333,1153.01,8616.810658,206803.4558,729.491,17507.784,1246.738188,29921.7165,10593.03985,254232.9563,6.717821714,3
13,19.63751974,52.10113595,974.3939484,1.901100523,39.52583333,948.62,8601.984763,206447.6343,729.28415,17502.8196,1244.58425,29870.022,10575.85316,253820.4759,7.560951715,3
14,21.58239756,54.51026687,947.7030702,1.911972953,48.25291667,1158.07,8601.082317,206425.9756,729.9047,17517.7128,1243.278833,29838.692,10574.26585,253782.3804,8.65654294,3
15,23.07707498,50.59708977,686.150153,1.925005027,37.11458333,890.75,8602.758288,206466.1989,729.0773,17497.8552,1242.691396,29824.5935,10574.52698,253788.6476,10.11617951,3
16,20.6031907,54.34964533,941.8214181,1.960126591,121.1145833,2906.75,8616.294975,206791.0794,729.97365,17519.3676,1247.064542,29929.549,10593.33317,254239.996,11.33468635,3
