DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,25.7495503,55.23438962,508.3375365,0.704803324,95.99916667,2303.98,6674.231542,160181.557,0,0,0,0,6674.231542,160181.557,0.171071381,24
1,27.25291652,55.95778369,465.7909958,1.211677359,111.2133333,2669.12,8714.403729,209145.6895,0,0,0,0,8714.403729,209145.6895,0.207125144,24
2,32.32678386,55.36282085,461.1904693,1.157028594,129.1066667,3098.56,8734.902142,209637.6514,0,0,0,0,8734.902142,209637.6514,0.375799416,24
3,25.37060842,55.5411771,478.6910591,1.213166603,117.535,2820.84,8731.292358,209551.0166,0,0,0,0,8731.292358,209551.0166,0.397850568,24
4,26.06312729,56.23959277,479.7408074,1.21229828,115.6595833,2775.83,8730.00315,209520.0756,0,0,0,0,8730.00315,209520.0756,0.959476613,24
5,25.6183909,56.34650892,539.8530603,1.217868237,133.0170833,3192.41,8730.389913,209529.3579,0,0,0,0,8730.389913,209529.3579,1.931611533,24
6,25.38548843,56.88755745,460.0181753,1.221303676,114.1604167,2739.85,8711.954233,209086.9016,0,0,0,0,8711.954233,209086.9016,2.837903296,24
7,25.91199707,57.0491978,469.2513889,1.219798002,155.3566667,3728.56,8733.612933,209606.7104,0,0,0,0,8733.612933,209606.7104,3.608801567,24
8,25.49513885,56.65680556,456.3298611,1.222892676,128.3029167,3079.27,8718.142433,209235.4184,0,0,0,0,8718.142433,209235.4184,4.28353088,24
9,25.01465271,56.47774494,495.730117,1.229740339,124.1245833,2978.99,8731.163438,209547.9225,0,0,0,0,8731.163438,209547.9225,5.475328894,24
10,26.79451372,56.40562501,587.5854167,1.221947287,108.3745833,2600.99,8734.128617,209619.0868,0,0,0,0,8734.128617,209619.0868,7.228976469,24
11,25.5732126,56.27970032,561.1092836,1.22468802,127.23125,3053.55,8715.821858,209179.7246,0,0,0,0,8715.821858,209179.7246,9.292029778,24
12,25.17340266,56.68215279,499.0847222,1.233266855,115.6595833,2775.83,8736.449192,209674.7806,0,0,0,0,8736.449192,209674.7806,11.50251114,24
13,24.99850267,56.48993302,433.8531609,1.235117233,128.83875,3092.13,8717.497829,209219.9479,0,0,0,0,8717.497829,209219.9479,13.94596305,24
14,27.16972582,56.43634651,501.1484273,1.227947183,139.0708333,3337.7,8735.546746,209653.1219,0,0,0,0,8735.546746,209653.1219,17.17028868,24
15,31.20745972,57.70304095,531.9006579,1.210487067,145.82,3499.68,8731.292358,209551.0166,0,0,0,0,8731.292358,209551.0166,19.20997138,24
16,30.24624993,57.96277778,498.9861111,1.252613057,130.1783333,3124.28,8734.128617,209619.0868,0,0,0,0,8734.128617,209619.0868,22.74749132,24
17,30.5973081,57.359096,502.3843809,1.307623698,132.2133333,3173.12,8735.417825,209650.0278,0,0,0,0,8735.417825,209650.0278,27.88094514,24
18,26.24194436,57.56229165,510.3715278,1.397627122,128.035,3072.84,8737.093796,209690.2511,0,0,0,0,8737.093796,209690.2511,33.73875093,24
19,30.34374983,57.6140972,492.3256944,1.399201709,127.7670833,3066.41,8731.421279,209554.1107,0,0,0,0,8731.421279,209554.1107,41.40300922,24
20,30.78068608,58.18737522,482.6951742,1.41941249,128.5708333,3085.7,8733.999696,209615.9927,0,0,0,0,8733.999696,209615.9927,50.9887289,24
21,26.21153117,57.90338276,514.3382886,1.293389766,127.23125,3053.55,8731.5502,209557.2048,0,0,0,0,8731.5502,209557.2048,62.1038278,24
22,24.62097217,58.37069447,452.8875,1.296264553,120.9095833,2901.83,8737.093796,209690.2511,0,0,0,0,8737.093796,209690.2511,70.96984827,24
23,24.48452674,58.56080866,488.4041078,1.27816006,132.2133333,3173.12,8733.484013,209603.6163,0,0,0,0,8733.484013,209603.6163,85.13057678,24
24,24.33807939,58.84498563,469.9053879,1.25312558,135.4283333,3250.28,8736.707033,209680.9688,0,0,0,0,8736.707033,209680.9688,93.77275515,24
25,24.62798602,59.29861113,476.3861111,1.215663129,141.2141667,3389.14,8736.320271,209671.6865,0,0,0,0,8736.320271,209671.6865,102.8523319,24
26,25.65993045,58.63917016,478.7026365,1.212002975,129.9104167,3117.85,8733.870775,209612.8986,0,0,0,0,8733.870775,209612.8986,107.5139335,24
27,25.05262334,58.90327926,445.5356481,1.281492094,154.9804167,3719.53,8733.226171,209597.4281,0,0,0,0,8733.226171,209597.4281,111.3691049,24
