DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,23.428361,66.09423613,417.0161111,0.392068477,544.7083333,13073,2098.831167,145487.6761,289.24525,9482.004,327.9206667,19943.1115,2715.997083,174912.7916,2.106970539,6
1,23.47444434,65.28805556,474.1701389,0.389675606,544.7083333,13073,8612.42735,206698.2564,730.93895,17542.5348,1245.498042,29891.953,10588.86434,254132.7442,2.879618523,6
2,23.6791666,65.6838889,415.8354167,0.385431832,544.7083333,13073,8616.939579,206806.5499,729.55995,17509.4388,1245.432771,29890.3865,10591.9323,254206.3752,3.17690379,6
3,23.98749988,65.77180557,384.80625,0.381995866,544.7083333,13073,8616.037133,206784.8912,729.97365,17519.3676,1246.999271,29927.9825,10593.01005,254232.2413,3.386391646,6
4,24.36472208,65.63645826,410.0479167,0.379638743,544.7083333,13073,8613.329796,206719.9151,730.80105,17539.2252,1245.759125,29898.219,10589.88997,254157.3593,4.08610252,6
5,24.36549083,65.46155886,394.0614703,0.381445671,544.7083333,13073,8580.841746,205940.2019,723.90605,17373.7452,1240.994354,29783.8645,10545.74215,253097.8116,4.446762662,6
6,23.67090264,65.76506947,404.1666667,0.388983427,544.7083333,13073,8616.166054,206787.9853,730.24945,17525.9868,1247.064542,29929.549,10593.48005,254243.5211,5.295607308,6
7,23.22666664,66.35888886,411.9451389,0.390134407,544.7083333,13073,8615.52145,206772.5148,731.2837,17550.8088,1245.954938,29902.9185,10592.76009,254226.2421,5.761956507,6
8,23.19361099,66.44777771,524.1791667,0.391736762,544.7083333,13073,8616.294975,206791.0794,731.0079,17544.1896,1244.649521,29871.5885,10591.9524,254206.8575,6.49135473,6
9,23.54618035,67.33215276,425.6298611,0.387473363,544.7083333,13073,8615.779292,206778.703,730.24945,17525.9868,1247.129813,29931.1155,10593.15855,254235.8053,7.068999258,6
10,23.78152775,67.90375004,401.9111111,0.383750977,544.7083333,13073,8616.037133,206784.8912,731.49055,17555.7732,1246.216021,29909.1845,10593.7437,254249.8489,7.888217797,6
11,24.21490002,67.78601418,513.2122369,0.379216183,576.75,13842,8588.190233,206116.5656,728.59465,17486.2716,1244.58425,29870.022,10561.36913,253472.8592,8.878083096,6
12,24.83333327,68.2120138,503.7798611,0.371733051,576.75,13842,8615.263608,206766.3266,730.11155,17522.6772,1244.780063,29874.7215,10590.15522,254163.7253,10.03309968,6
13,25.02479155,68.10479168,428.75,0.365537915,544.7083333,13073,8603.273971,206478.5753,729.69785,17512.7484,1246.346563,29912.3175,10579.31838,253903.6412,11.1660729,6
14,25.01423596,68.29765286,432.7881944,0.362290773,544.7083333,13073,8612.42735,206698.2564,730.87,17540.88,1245.563313,29893.5195,10588.86066,254132.6559,12.62883339,6
15,24.7433332,68.28255556,411.6520833,0.359807415,544.7083333,13073,8616.810658,206803.4558,730.38735,17529.2964,1245.041146,29880.9875,10592.23915,254213.7397,14.64236382,6
16,25.25694437,68.45340277,405.3930556,0.350775672,544.7083333,13073,8616.681738,206800.3617,730.24945,17525.9868,1247.456167,29938.948,10594.38735,254265.2965,16.85848319,6
17,25.58784714,68.90756949,398.6013889,0.341568896,544.7083333,13073,8614.103321,206738.4797,731.2837,17550.8088,1246.216021,29909.1845,10591.60304,254198.473,19.7087061,6
18,25.57958319,69.27666664,465.0767544,0.333033614,544.7083333,13073,8616.681738,206800.3617,730.87,17540.88,1245.106417,29882.554,10592.65815,254223.7957,22.87957972,6
19,25.7653471,69.56534715,410.9208333,0.321377427,544.7083333,13073,8616.423896,206794.1735,730.3184,17527.6416,1247.129813,29931.1155,10593.87211,254252.9306,25.02956195,6
20,25.91805545,69.55652788,397.9083333,0.307531722,544.7083333,13073,8615.005767,206760.1384,731.2837,17550.8088,1246.216021,29909.1845,10592.50549,254220.1317,27.15096377,6
21,25.23347218,69.72145822,453.1993056,0.302329504,544.7083333,13073,8615.908213,206781.7971,730.7321,17537.5704,1245.041146,29880.9875,10591.68146,254200.355,29.18975754,6
22,26.11354171,69.678889,424.4069444,0.284415587,544.7083333,13073,8618.099867,206834.3968,730.7321,17537.5704,1247.325625,29935.815,10596.15759,254307.7822,31.82131093,6
23,26.39138886,69.94354167,435.2055556,0.269663948,544.7083333,13073,8614.103321,206738.4797,730.93895,17542.5348,1245.954938,29902.9185,10590.99721,254183.933,34.22660897,6
24,27.33527772,69.98659721,432.5888889,0.249968406,544.7083333,13073,8615.650371,206775.6089,730.4563,17530.9512,1245.106417,29882.554,10591.21309,254189.1141,36.01576212,6
25,27.04152772,69.89458327,504.4397756,0.24409576,544.7083333,13073,8615.779292,206778.703,730.1805,17524.332,1246.999271,29927.9825,10592.95906,254231.0175,36.79037461,6
26,27.48868044,70.11652771,489.8036111,0.231479004,544.7083333,13073,8615.779292,206778.703,731.35265,17552.4636,1246.085479,29906.0515,10593.21742,254237.2181,37.56498711,6
27,31.26003598,90.66691563,564.1712908,0.232589775,544.7083333,13073,8615.779292,206778.703,731.35265,17552.4636,1246.085479,29906.0515,10593.21742,254237.2181,37.94021659,6
