DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,25.78312494,59.56479164,519.89375,1.833170523,544.7083333,13073,8618.099867,206834.3968,729.14625,17499.51,1246.281292,29910.751,10593.52741,254244.6578,2.844208774,7
1,26.2325694,59.1747223,540.9548611,1.23863647,544.7083333,13073,8615.908213,206781.7971,730.80105,17539.2252,1246.477104,29915.4505,10593.18637,254236.4728,2.850586223,7
2,27.82124991,53.7429167,552.8111111,0.702048794,544.7083333,13073,8613.329796,206719.9151,730.52525,17532.606,1245.693854,29896.6525,10589.5489,254149.1736,2.902921522,7
3,27.6681943,56.02131942,542.0972222,0.210463377,544.7083333,13073,8616.552817,206797.2676,729.14625,17499.51,1245.3675,29888.82,10591.06657,254185.5976,2.9873784,7
4,28.5717359,49.91138886,496.0347222,0.006356958,544.7083333,13073,8618.61555,206846.7732,730.38735,17529.2964,1247.195083,29932.682,10596.19798,254308.7516,2.996939454,7
5,29.04618034,50.64097219,517.8847222,0,544.7083333,13073,8614.747925,206753.9502,730.87,17540.88,1245.889667,29901.352,10591.50759,254196.1822,3.109714446,7
6,29.75951371,52.26479166,664.5604167,0,544.7083333,13073,8615.650371,206775.6089,729.42205,17506.1292,1245.106417,29882.554,10590.17884,254164.2921,3.30202062,7
7,28.19562487,50.61000007,592.3326389,0.793160762,544.7083333,13073,8616.939579,206806.5499,730.24945,17525.9868,1247.064542,29929.549,10594.25357,254262.0857,3.610259798,7
8,28.12608044,49.64265645,573.6463865,1.984093259,576.75,13842,8613.716558,206729.1974,731.07685,17545.8444,1244.714792,29873.155,10589.5082,254148.1968,3.99250203,7
9,27.88944434,51.61270141,562.1034722,2.030761237,544.7083333,13073,8615.134688,206763.2325,729.28415,17502.8196,1246.346563,29912.3175,10590.7654,254178.3696,4.864522861,7
10,28.01274299,53.43159718,506.1055556,2.063988412,544.7083333,13073,8612.298429,206695.1623,729.7668,17514.4032,1246.477104,29915.4505,10588.54233,254125.016,5.948902961,7
11,27.72442841,57.2259029,496.1291667,2.102085663,544.7083333,13073,8608.044042,206593.057,730.1805,17524.332,1245.171688,29884.1205,10583.39623,254001.5095,7.403576686,7
12,28.97499986,58.23381939,485.3819444,2.122308636,544.7083333,13073,8615.52145,206772.5148,729.28415,17502.8196,1245.759125,29898.219,10590.56473,254173.5534,9.107230806,7
13,29.06650682,59.63163205,499.5159722,2.169437237,544.7083333,13073,8615.908213,206781.7971,730.52525,17532.606,1246.999271,29927.9825,10593.43273,254242.3856,10.80570099,7
14,28.71097211,60.96298612,547.7388889,2.2299816,544.7083333,13073,8612.943033,206710.6328,730.24945,17525.9868,1246.15075,29907.618,10589.34323,254144.2376,12.37345683,7
15,27.73339569,59.95923605,532.8347222,2.311967037,544.7083333,13073,8613.845479,206732.2915,730.93895,17542.5348,1246.020208,29904.485,10590.80464,254179.3113,14.47069333,7
16,28.34627063,61.74659724,537.075,2.363595155,544.7083333,13073,8612.298429,206695.1623,729.55995,17509.4388,1244.780063,29874.7215,10586.63844,254079.3226,15.87820507,7
17,28.49472204,62.17409708,556.1701389,2.434256518,544.7083333,13073,8615.650371,206775.6089,730.24945,17525.9868,1246.934,29926.416,10592.83382,254228.0117,19.06852522,7
18,28.85743049,63.33361107,508.7388889,2.509057871,544.7083333,13073,8613.458717,206723.0092,729.83575,17516.058,1246.672917,29920.15,10589.96738,254159.2172,22.04152348,7
19,27.72405543,63.61687493,507.45625,2.62799105,544.7083333,13073,8571.301604,205711.2385,728.31885,17479.6524,1239.754208,29754.101,10539.37466,252944.9919,24.92263676,7
20,26.6043194,65.799111,534.3694444,2.759552329,544.7083333,13073,8611.782746,206682.7859,731.35265,17552.4636,1244.453708,29866.889,10587.5891,254102.1385,28.60007237,7
21,24.08049655,67.58256217,522.8381944,2.94032525,544.7083333,13073,8613.071954,206713.7269,728.73255,17489.5812,1243.344104,29840.2585,10585.14861,254043.5666,33.11789517,7
22,24.18158965,68.85687643,535.9743056,3.040879567,544.7083333,13073,8600.695554,206416.6933,729.28415,17502.8196,1244.192625,29860.623,10574.17233,253780.1359,37.87114353,7
23,24.8115347,70.59002318,519.0474341,3.197803819,576.75,13842,8598.5039,206364.0936,728.59465,17486.2716,1242.038688,29808.9285,10569.13724,253659.2937,41.69127023,7
24,23.71666654,72.75465966,492.140625,3.389657353,544.7083333,13073,8611.009221,206664.2213,728.3878,17481.3072,1244.518979,29868.4555,10583.916,254013.984,47.46293595,7
25,21.33006933,72.17159786,482.7277778,3.522214878,544.7083333,13073,8608.559725,206605.4334,729.00835,17496.2004,1245.759125,29898.219,10583.3272,253999.8528,51.10034872,7
26,21.22184017,73.09836674,494.4305556,3.596032187,544.7083333,13073,8605.207783,206524.9868,730.24945,17525.9868,1244.975875,29879.421,10580.43311,253930.3946,56.66581413,7
27,23.53837247,74.59598883,654.85625,3.602895687,544.7083333,13073,8609.977854,206639.4685,730.11155,17522.6772,1244.649521,29871.5885,10584.73893,254033.7342,63.75211185,7
