"","DAT","내부온도관측치","내부습도관측치","co2관측치","ec관측치","시간당분무량","일간누적분무량","시간당백색광량","일간누적백색광량","시간당적색광량","일간누적적색광량","시간당청색광량","일간누적청색광량","시간당총광량","일간누적총광량","predicted_weight_g","case"
"1",0,24.1562014708333,47.0370134845833,786.738113216667,1.65042962775,523.485833333333,12563.66,4952.4938125,118859.8515,521.74465,12521.8716,833.116916666667,19994.806,6307.35537916667,151376.5291,0.656983346689596,27
"2",1,22.75284717625,52.1423092304167,604.285416666667,1.52523916579167,868.225833333333,20837.42,8614.49008333333,206747.762,729.9047,17517.7128,1244.975875,29879.421,10589.3706583333,254144.8958,1.33150348055812,27
"3",2,23.4108331995833,52.3869836175,545.209722220833,1.52413058858333,835.48875,20051.73,8612.68519166667,206704.4446,729.97365,17519.3676,1246.7381875,29921.7165,10589.3970291667,254145.5287,1.37384787238373,27
"4",3,23.71791658125,53.7010023066667,541.965972233333,1.52551871545833,736.9525,17686.86,8613.32979583333,206719.9151,731.1458,17547.4992,1246.02020833333,29904.485,10590.4958041667,254171.8993,2.57653033252061,27
"5",4,24.4034026545833,61.4747806479167,524.8708333375,1.5195488505,950.692916666667,22816.63,8614.747925,206753.9502,730.4563,17530.9512,1245.04114583333,29880.9875,10590.2453708333,254165.8889,2.92193156708033,27
"6",5,24.89812487625,67.3675315204167,528.994444445833,1.51606243875,949.404583333333,22785.71,8613.45871666667,206723.0092,729.491,17507.784,1246.15075,29907.618,10589.1004666667,254138.4112,3.11895515598027,27
"7",6,24.0424252654167,69.1225782083333,540.576059941667,1.534659807,844.33,20263.92,8601.85584166667,206444.5402,729.83575,17516.058,1245.69385416667,29896.6525,10577.3854458333,253857.2507,3.42019958871966,27
"8",7,23.4396776095833,65.9236886820833,558.525694441667,1.548462098375,840.898333333333,20181.56,8615.52145,206772.5148,730.87,17540.88,1245.759125,29898.219,10592.150575,254211.6138,4.18279266906569,27
"9",8,22.74247299625,60.2923260541667,557.690250829167,1.55949854720833,902.570416666667,21661.69,8574.00894166667,205776.2146,727.49145,17459.7948,1237.20864583333,29693.0075,10538.7090375,252929.0169,4.27761493398795,27
"10",9,22.7630554558333,57.3039585304167,535.281249995833,1.56448024666667,777.248333333333,18653.96,8604.04749583333,206497.1399,729.0773,17497.8552,1245.04114583333,29880.9875,10578.1659416667,253875.9826,4.38429722190377,27
"11",10,22.5046520220833,56.04588236375,531.042686966667,1.57135276770833,800.984583333333,19223.63,7700.441375,184810.593,680.9502,16342.8048,1160.45014583333,27850.8035,9541.84172083333,229004.2013,5.27538651011906,27
"12",11,22.7090277008333,58.4495139845833,530.166666666667,1.57622768008333,895.82125,21499.71,8598.5039,206364.0936,729.55995,17509.4388,1243.2135625,29837.1255,10571.2774125,253710.6579,5.74540405619214,27
"13",12,22.8412760508333,59.214686625,544.428598479167,1.57777823558333,800.232083333333,19205.57,8034.73309583333,192833.5943,679.847,16316.328,1139.88983333333,27357.356,9854.46992916667,236507.2783,7.19308459844168,27
"14",13,22.726796255,62.6741361575,557.059030683333,1.58464692333333,811.159583333333,19467.83,7999.4087875,191985.8109,679.5712,16309.7088,1136.23466666667,27269.632,9815.21465416667,235565.1517,7.4295191806208,27
"15",14,22.9829860495833,66.7923587091667,545.33819445,1.58478600545833,934.560833333333,22429.46,8612.29842916667,206695.1623,731.4216,17554.1184,1245.62858333333,29895.086,10589.3486125,254144.3667,9.08453260757608,27
"16",15,23.6957637970833,72.9391664533333,505.515972225,1.57496925620833,754.635,18111.24,8615.1346875,206763.2325,730.93895,17542.5348,1244.51897916667,29868.4555,10590.5926166667,254174.2228,11.0506257495142,27
"17",16,23.8509721720833,77.6718586466667,486.050000004167,1.57389981666667,784.157083333333,18819.77,8616.42389583333,206794.1735,728.59465,17486.2716,1244.7800625,29874.7215,10589.7986083333,254155.1666,13.4813801253531,27
"18",17,24.2863887741667,78.7912779195833,499.3819444375,1.55734486258333,1014.66791666667,24352.03,8617.19742083333,206812.7381,729.9047,17517.7128,1246.67291666667,29920.15,10593.7750375,254250.6009,16.6648978789935,27
"19",18,24.7423168220833,80.0796957683333,485.8732712,1.53525253970833,933.329583333333,22399.91,8602.7582875,206466.1989,729.28415,17502.8196,1244.64952083333,29871.5885,10576.6919583333,253840.607,20.4710763677887,27
"20",19,24.4479861058333,81.80000743875,541.5765533375,1.51822967375,845.829166666667,20299.9,8612.68519166667,206704.4446,730.1805,17524.332,1244.51897916667,29868.4555,10587.3846708333,254097.2321,25.8122840828559,27
"21",20,23.88951375625,81.5387780670833,554.151377766667,1.49780695245833,874.655833333333,20991.74,8615.26360833333,206766.3266,729.28415,17502.8196,1244.71479166667,29873.155,10589.26255,254142.3012,31.8426701193057,27
