DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,24.24956347,58.00742037,520.7895833,1.039399071,82.12458333,1970.99,6388.414054,153321.9373,101.01175,2424.282,63.76960417,1530.4705,6553.195408,157276.6898,0.315897173,26
1,28.48025649,53.14591928,617.4295668,1.033013887,144.8566667,3476.56,8734.257538,209622.1809,0,0,0,0,8734.257538,209622.1809,0.551604626,26
2,35.02881826,50.43995754,611.8157251,0.978491338,126.6954167,3040.69,8726.006604,209424.1585,0,0,0,0,8726.006604,209424.1585,0.666035635,26
3,26.53513875,53.91000005,608.1512006,1.030711659,140.94625,3382.71,8732.839408,209588.1458,0,0,0,0,8732.839408,209588.1458,0.746534419,26
4,27.36465271,54.48798608,602.8638889,1.027910163,131.1416667,3147.4,8704.090063,208898.1615,0,0,0,0,8704.090063,208898.1615,0.874820325,26
5,26.76307462,54.84813711,675.2235153,1.029573007,116.9991667,2807.98,8728.069338,209473.6641,0,0,0,0,8728.069338,209473.6641,1.24012336,26
6,26.32367448,56.35658261,581.4878289,1.031304685,128.3029167,3079.27,8730.260992,209526.2638,0,0,0,0,8730.260992,209526.2638,1.418845441,26
7,26.6955049,56.70727637,596.1553084,1.030451218,101.5170833,2436.41,8728.069338,209473.6641,0,0,0,0,8728.069338,209473.6641,1.86426178,26
8,25.86971026,57.51031612,575.778113,1.033268691,137.73125,3305.55,8715.692938,209176.6305,0,0,0,0,8715.692938,209176.6305,2.871731422,26
9,25.37554589,57.06137451,617.174114,1.038497081,140.4104167,3369.85,8720.076246,209281.8299,0,0,0,0,8720.076246,209281.8299,4.340945847,26
10,28.15791425,56.83318852,732.8236111,1.025940273,124.2841667,2982.82,8735.417825,209650.0278,0,0,0,0,8735.417825,209650.0278,5.640438487,26
11,26.67468795,56.25624409,699.4515184,1.02919042,109.3379167,2624.11,8726.651208,209439.629,0,0,0,0,8726.651208,209439.629,7.70430189,26
12,26.2513888,56.55534719,630.5180438,1.033398966,124.3925,2985.42,8729.745308,209513.8874,0,0,0,0,8729.745308,209513.8874,10.2524383,26
13,25.99177957,56.42036155,554.0831896,1.033568336,139.8745833,3356.99,8735.288904,209646.9337,0,0,0,0,8735.288904,209646.9337,13.11237669,26
14,28.05583328,56.13409723,641.5375,1.028307789,126.1595833,3027.83,7450.5928,178814.2272,410.32145,9847.7148,257.297625,6175.143,8118.211875,194837.085,15.01385759,26
15,32.6702777,56.96534727,681.7180556,1.010466787,130.1783333,3124.28,4359.071217,104617.7092,1396.99595,33527.9028,877.4358125,21058.4595,6633.502979,159204.0715,16.66021797,26
16,31.72004815,57.08020837,639.1129708,1.049410817,124.9283333,2998.28,4361.13395,104667.2148,1396.72015,33521.2836,877.5663542,21061.5925,6635.420454,159250.0909,18.05708152,26
17,31.87631937,56.2033333,643.9305556,1.074977029,134.08875,3218.13,4351.85165,104444.4396,1394.3069,33463.3656,878.5454167,21085.09,6624.703967,158992.8952,21.16830258,26
18,26.8529165,56.641875,643.9861111,1.104396888,133.0170833,3192.41,4359.071217,104617.7092,1396.99595,33527.9028,880.8951667,21141.484,6636.962333,159287.096,24.78380022,26
19,31.71479149,56.67423609,631.6041667,1.074695907,118.33875,2840.13,4362.552079,104701.2499,1396.7891,33522.9384,880.9604375,21143.0505,6640.301617,159367.2388,28.99060145,26
20,32.12695607,56.98786602,618.3497877,1.092979235,130.44625,3130.71,4361.649633,104679.5912,1397.6165,33542.796,881.2867917,21150.883,6640.552925,159373.2702,33.87009999,26
21,26.77668568,56.53375481,647.4561782,1.145307333,99.21416667,2381.14,4357.653088,104583.6741,1395.61695,33494.8068,880.2424583,21125.819,6633.512496,159204.2999,40.07583373,26
22,25.04310959,56.95933379,576.2417373,1.15127493,130.1783333,3124.28,4362.165317,104691.9676,1396.72015,33521.2836,881.8742292,21164.9815,6640.759696,159378.2327,48.3973896,26
23,24.81533719,57.34804524,616.9752208,1.139910205,135.4283333,3250.28,4358.813375,104611.521,1396.44435,33514.6644,880.5035417,21132.085,6635.761267,159258.2704,53.20069162,26
24,24.27333323,57.86930554,598.2243056,1.127150029,133.285,3198.84,4357.137404,104571.2977,1395.548,33493.152,880.373,21128.952,6633.058404,159193.4017,64.31197798,26
25,23.68159233,58.66131826,607.2575683,1.108294501,151.1783333,3628.28,4364.356971,104744.5673,1396.16855,33508.0452,881.0257083,21144.617,6641.551229,159397.2295,73.15731865,26
26,24.17152771,58.37100286,608.4548611,1.081612753,129.6425,3111.42,4359.844742,104636.2738,1396.16855,33508.0452,881.2867917,21150.883,6637.300083,159295.202,76.42705166,26
27,23.59842391,59.04608283,574.5715749,1.071243508,118.0708333,2833.7,4360.102583,104642.462,1396.44435,33514.6644,880.5035417,21132.085,6637.050475,159289.2114,81.998846,26
