"","DAT","내부온도관측치","내부습도관측치","co2관측치","ec관측치","시간당분무량","일간누적분무량","시간당백색광량","일간누적백색광량","시간당적색광량","일간누적적색광량","시간당청색광량","일간누적청색광량","시간당총광량","일간누적총광량","predicted_weight_g","case"
"1",0,29.7496526508333,71.37200209875,526.121527779167,0,92.55,2221.2,7594.0816875,182257.9605,0,0,0,0,7594.0816875,182257.9605,1.91811906184545,8
"2",1,30.90875003,67.7437598133333,548.146626995833,1.253851931125,92.55,2221.2,7598.07823333333,182353.8776,0,0,0,0,7598.07823333333,182353.8776,2.0717806948503,8
"3",2,30.41409704,69.6386528091667,505.398611108333,2.110684643125,92.55,2221.2,7633.5314625,183204.7551,0,0,0,0,7633.5314625,183204.7551,2.21076764457266,8
"4",3,29.37102765,70.71050686875,517.283333333333,2.14331398179167,92.55,2221.2,7614.9668625,182759.2047,0,0,0,0,7614.9668625,182759.2047,2.40926574014178,8
"5",4,30.79597210875,71.66400701,428.270138891667,2.17983075658333,92.55,2221.2,7591.24542916667,182189.8903,0,0,0,0,7591.24542916667,182189.8903,2.80847919939534,8
"6",5,33.5734026483333,70.9514583429167,431.434722220833,2.17868073245833,92.55,2221.2,7589.56945833333,182149.667,0,0,0,0,7589.56945833333,182149.667,3.20107129968366,8
"7",6,30.2820138333333,69.7237498895833,488.311805554167,2.23312453045833,92.55,2221.2,7593.56600416667,182245.5841,0,0,0,0,7593.56600416667,182245.5841,3.54108136431135,8
"8",7,28.127499965,70.9357918,491.870138883333,2.32420011095833,92.55,2221.2,7589.18269583333,182140.3847,0,0,0,0,7589.18269583333,182140.3847,4.15159946525146,8
"9",8,26.8765306020833,71.74084433625,484.46875,2.39995149558333,92.55,2221.2,7606.071325,182545.7118,0,0,0,0,7606.071325,182545.7118,4.91521844372795,8
"10",9,26.7988887204167,72.04601028375,480.568055558333,2.44277874079167,92.55,2221.2,7593.56600416667,182245.5841,0,0,0,0,7593.56600416667,182245.5841,5.92759491308111,8
"11",10,27.4006943266667,71.8276387858333,450.4375000125,2.46402888783333,92.55,2221.2,7604.9110375,182517.8649,0,0,0,0,7604.9110375,182517.8649,7.14192566412633,8
"12",11,26.9913888775,71.7781319966667,434.093055558333,2.50571095929167,92.55,2221.2,7592.9214,182230.1136,0,0,0,0,7592.9214,182230.1136,8.66691126488149,8
"13",12,27.6274303754167,72.15572912625,417.141666666667,2.53707682066667,92.55,2221.2,7606.71592916667,182561.1823,0,0,0,0,7606.71592916667,182561.1823,10.6371237814303,8
"14",13,28.1604860270833,72.24983560125,455.218055558333,2.56351694941667,97.6916666666667,2344.6,7603.10614583333,182474.5475,0,0,0,0,7603.10614583333,182474.5475,12.9337704308261,8
"15",14,27.6936110191667,72.5687935229167,471.053472220833,2.63803963929167,92.55,2221.2,7579.64255416667,181911.4213,0,0,0,0,7579.64255416667,181911.4213,14.9009981015862,8
"16",15,27.4937499425,72.9160908191667,484.612847233333,2.69687309708333,95.1208333333333,2282.9,7601.55909583333,182437.4183,0,0,0,0,7601.55909583333,182437.4183,16.9574021071997,8
"17",16,24.3094443145833,73.9000833254167,408.054166666667,2.85768893245833,92.55,2221.2,7591.89003333333,182205.3608,0,0,0,0,7591.89003333333,182205.3608,21.4893451423836,8
"18",17,26.33138881625,74.9802552275,409.6902777875,2.872875485125,92.55,2221.2,7580.02931666667,181920.7036,0,0,0,0,7580.02931666667,181920.7036,24.9690976437953,8
"19",18,28.1351387520833,75.3919503725,423.582638891667,2.90798266616667,92.55,2221.2,7630.4373625,183130.4967,0,0,0,0,7630.4373625,183130.4967,26.3495793651595,8
"20",19,27.1918054683333,75.2749834725,417.234722225,2.99591313216667,92.55,2221.2,7590.2140625,182165.1375,0,0,0,0,7590.2140625,182165.1375,33.046749641138,8
"21",20,26.54569433875,74.9864376220833,443.7420138875,3.06709418545833,92.55,2221.2,7591.24542916667,182189.8903,0,0,0,0,7591.24542916667,182189.8903,37.8085827017123,8
"22",21,28.6222916054167,75.4810901483333,465.61944445,3.081461834875,92.55,2221.2,7586.3464375,182072.3145,0,0,0,0,7586.3464375,182072.3145,41.0493728534421,8
"23",22,28.41201377375,75.5229913866667,454.914236116667,3.199755372125,92.55,2221.2,7592.9214,182230.1136,0,0,0,0,7592.9214,182230.1136,46.8124639213584,8
"24",23,28.1302083025,76.00165400125,444.1854166625,3.39246954483333,92.55,2221.2,7591.7611125,182202.2667,0,0,0,0,7591.7611125,182202.2667,57.9814922310906,8
"25",24,28.86034710375,76.3922010375,441.071527775,3.631589910375,92.55,2221.2,7588.92485416667,182134.1965,0,0,0,0,7588.92485416667,182134.1965,74.4886320645569,8
"26",25,31.2181942941667,77.0095718908333,421.761713220833,3.96174351883333,92.55,2221.2,7557.59709166667,181382.3302,0,0,0,0,7557.59709166667,181382.3302,76.7946814347605,8
"27",26,28.7653812404167,76.04686260125,422.464818745833,4.603782987125,92.55,2221.2,7573.1965125,181756.7163,0,0,0,0,7573.1965125,181756.7163,90.184491265087,8
"28",27,28.2925693225,76.2720832070833,463.987499995833,4.97899308595833,92.55,2221.2,7584.54154583333,182028.9971,0,0,0,0,7584.54154583333,182028.9971,96.2573532513576,8
