"","DAT","내부온도관측치","내부습도관측치","co2관측치","ec관측치","시간당분무량","일간누적분무량","시간당백색광량","일간누적백색광량","시간당적색광량","일간누적적색광량","시간당청색광량","일간누적청색광량","시간당총광량","일간누적총광량","predicted_weight_g","case"
"1",0,24.7505981870833,74.5535306595833,468.66398425,2.00922469933333,173.25,4158,7915.73916666667,189977.74,0,0,0,0,7915.73916666667,189977.74,4.22307736445887,5
"2",1,24.7185621045833,75.8130258908333,467.898039325,1.32021368158333,173.25,4158,4344.63208333333,104271.17,0,0,0,0,4344.63208333333,104271.17,4.99170885282367,5
"3",2,25.0392795829167,76.0051711083333,470.140206075,1.93634629441667,173.25,4158,5143.94125,123454.59,0,0,0,0,5143.94125,123454.59,4.96608376034272,5
"4",3,25.0042001025,75.9380893095833,467.23323165,1.92817871641667,173.25,4158,6587.85458333333,158108.51,0,0,0,0,6587.85458333333,158108.51,5.00515461935471,5
"5",4,24.96003434875,74.1955087358333,440.21907305,1.940689597375,173.25,4158,10584.4004166667,254025.61,0,0,0,0,10584.4004166667,254025.61,6.07926069705402,5
"6",5,24.9084088641667,73.9936296991667,449.162589404167,1.96246511104167,173.25,4158,10591.1043,254186.5032,0,0,0,0,10591.1043,254186.5032,7.38574910614654,5
"7",6,24.56558790875,74.2227213691667,455.010282245833,1.99007655733333,173.25,4158,6471.82583333333,155323.82,0,0,0,0,6471.82583333333,155323.82,9.32644411194854,5
"8",7,24.7349874183333,73.29359437375,455.867366258333,2.01219518041667,173.25,4158,10605.1566708333,254523.7601,0,0,0,0,10605.1566708333,254523.7601,9.38282688351177,5
"9",8,24.6251415808333,74.8144380666667,456.221686670833,1.941324947375,173.25,4158,1327.88458333333,31869.23,0,0,0,0,1327.88458333333,31869.23,12.1622153900388,5
"10",9,24.6589480725,73.87499197125,467.0938821875,2.02260751120833,544.708333333333,13073,1327.88458333333,31869.23,0,0,0,0,1327.88458333333,31869.23,13.0611371966911,5
"11",10,24.60874991,74.81666666125,457.625000008333,1.562477768875,544.708333333333,13073,10661.3661541667,255872.7877,0,0,0,0,10661.3661541667,255872.7877,15.4487335243785,5
"12",11,24.51631935,73.4126387916667,436.089583320833,1.585505428375,544.708333333333,13073,10649.118675,255578.8482,0,0,0,0,10649.118675,255578.8482,18.7189202394876,5
"13",12,24.4020832016667,76.1508332883333,437.736111108333,1.59754532233333,544.708333333333,13073,10635.96875,255263.25,0,0,0,0,10635.96875,255263.25,23.0382990748517,5
"14",13,24.6200693370833,77.32152769875,446.884027775,1.64326151675,544.708333333333,13073,10674.645,256191.48,0,0,0,0,10674.645,256191.48,27.2399999197465,5
"15",14,24.6680573266667,77.4303258966667,464.56631885,1.1951927635,576.75,13842,10056.0828416667,241345.9882,0,0,0,0,10056.0828416667,241345.9882,31.9348970660656,5
"16",15,24.5128472154167,77.37881234875,436.255555558333,1.308284479125,544.708333333333,13073,10638.6760875,255328.2261,0,0,0,0,10638.6760875,255328.2261,33.9356050354811,5
"17",16,24.639930515,79.0604514433333,436.853472225,1.37433579016667,544.708333333333,13073,10674.645,256191.48,0,0,0,0,10674.645,256191.48,45.5858775722093,5
"18",17,24.8815972166667,80.0157641458333,465.8138888875,1.3703149795,544.708333333333,13073,10644.0907625,255458.1783,0,0,0,0,10644.0907625,255458.1783,49.4693878895871,5
"19",18,25.19770829,81.02555557875,464.224999995833,1.50053341033333,576.75,13842,10635.96875,255263.25,0,0,0,0,10635.96875,255263.25,62.737492314654,5
"20",19,25.6412499904167,81.4704167829167,441.716666670833,1.278485972375,544.708333333333,13073,10649.3765166667,255585.0364,0,0,0,0,10649.3765166667,255585.0364,76.1728495858217,5
"21",20,24.7543055591667,81.05861803125,432.424153825,1.76085578616667,544.708333333333,13073,10650.1500416667,255603.601,0,0,0,0,10650.1500416667,255603.601,87.7396746092325,5
"22",21,24.13097215,79.7880458920833,434.890625,2.65097441554167,544.708333333333,13073,10623.0766666667,254953.84,0,0,0,0,10623.0766666667,254953.84,96.6579439956609,5
"23",22,24.066388835,79.2679445125,449.1248035875,2.23639785666667,544.708333333333,13073,10630.8119166667,255139.486,0,0,0,0,10630.8119166667,255139.486,113.266231412292,5
"24",23,24.0870248041667,79.64762172375,450.4848583,2.02279082125,544.708333333333,13073,10666.90975,256005.834,0,0,0,0,10666.90975,256005.834,114.892808737437,5
"25",24,24.03291658875,79.0512446570833,441.2034222875,1.06400716425,544.708333333333,13073,10658.400975,255801.6234,0,0,0,0,10658.400975,255801.6234,124.121274798068,5
"26",25,23.96402772,78.1531098416667,432.997907920833,1.554850500625,544.708333333333,13073,10635.96875,255263.25,0,0,0,0,10635.96875,255263.25,133.107838714702,5
"27",26,24.01076382,79.0235971508333,441.4054499375,2.416844525875,544.708333333333,13073,10639.06285,255337.5084,0,0,0,0,10639.06285,255337.5084,146.566896316797,5
"28",27,24.0570138166667,79.3479174275,460.25200425,2.143959926375,544.708333333333,13073,10674.645,256191.48,0,0,0,0,10674.645,256191.48,150.635597803608,5
