DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,17.88321942,49.06929731,583.2638784,0.882862564,294.9645833,7079.15,8066.3187,193591.6488,680.9502,16342.8048,1144.32825,27463.878,9891.59715,237398.3316,1.65691747,4
1,20.8913207,56.51458651,613.2743056,1.519835439,927.54375,22261.05,8614.876846,206757.0443,730.93895,17542.5348,1244.910604,29877.8545,10590.7264,254177.4336,1.923781179,4
2,21.01976076,59.67144309,549.0784722,1.528221216,883.4970833,21203.93,8616.037133,206784.8912,729.55995,17509.4388,1246.868729,29924.8495,10592.46581,254219.1795,2.32279267,4
3,21.20680549,61.48279302,547.8256944,1.536457219,822.1441667,19731.46,8614.361163,206744.6679,730.11155,17522.6772,1246.346563,29912.3175,10590.81928,254179.6626,2.781643946,4
4,21.92006933,64.3559899,532.8715278,1.531123712,857.2470833,20573.93,8614.361163,206744.6679,730.80105,17539.2252,1245.824396,29899.7855,10590.98661,254183.6786,3.680513921,4
5,22.37930545,67.84174016,536.6243056,1.526205208,947.9054167,22749.73,8615.005767,206760.1384,729.28415,17502.8196,1244.910604,29877.8545,10589.20052,254140.8125,5.167247888,4
6,21.83083478,68.2504288,542.9114969,1.559513608,888.16,21315.84,8616.423896,206794.1735,729.9047,17517.7128,1246.868729,29924.8495,10593.19733,254236.7358,6.221723447,4
7,21.06257342,67.81472595,558.0236111,1.582319055,830.23875,19925.73,8610.493538,206651.8449,730.66315,17535.9156,1245.3675,29888.82,10586.52419,254076.5805,7.527575078,4
8,20.6258233,64.84483247,558.3993056,1.598762705,803.33875,19280.13,8563.824196,205531.7807,726.8709,17444.9016,1236.229583,29669.51,10526.92468,252646.1923,8.946600608,4
9,20.52034713,64.22320435,538.2902778,1.606513996,961.0333333,23064.8,8616.681738,206800.3617,730.0426,17521.0224,1246.477104,29915.4505,10593.20144,254236.8346,10.59099123,4
