DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,25.02258765,47.89759638,406.7496956,2.947257504,1054.798333,25315.16,0,0,4873.386,116961.264,3075.561667,73813.48,7948.947667,190774.744,11.76416292,11
1,24.99812067,52.42308241,407.326337,2.968254045,1173.587917,28166.11,0,0,4869.249,116861.976,3072.950833,73750.82,7942.199833,190612.796,12.52326466,11
2,25.07150725,56.19794873,411.0169415,2.992483524,1109.128333,26619.08,0,0,4860.975,116663.4,3067.729167,73625.5,7928.704167,190288.9,13.76091286,11
3,24.9768156,59.04152915,398.1348721,3.012119606,1126.32625,27031.83,0,0,4794.783,115074.792,3025.955833,72622.94,7820.738833,187697.732,15.81390438,11
4,24.9244895,61.80067743,400.9411328,3.083550203,1218.86,29252.64,0,0,4869.249,116861.976,3072.950833,73750.82,7942.199833,190612.796,17.59646975,11
5,25.07629486,62.15785954,417.1790441,2.865721919,1195.12375,28682.97,0,0,4877.523,117060.552,1156.599167,27758.38,6034.122167,144818.932,19.96627535,11
6,24.77054514,59.50300845,407.807883,2.670482482,1070.38875,25689.33,0,0,5849.718,140393.232,1503.84,36092.16,7353.558,176485.392,22.58748712,11
7,25.91380323,66.06103505,378.1700782,2.627051739,1176.318333,28231.64,0,0,4860.975,116663.4,3067.729167,73625.5,7928.704167,190288.9,23.98709975,11
8,26.5960463,67.2178806,376.9199153,2.64560949,1112.075417,26689.81,0,0,4869.249,116861.976,3072.950833,73750.82,7942.199833,190612.796,28.75058076,11
9,25.34417249,69.24617044,400.8818345,2.725625751,1142.617917,27422.83,0,0,4873.386,116961.264,3075.561667,73813.48,7948.947667,190774.744,34.58246516,11
10,25.05211092,71.98343042,390.1353931,2.795827195,1105.269167,26526.46,0,0,4873.386,116961.264,3075.561667,73813.48,7948.947667,190774.744,44.12860754,11
11,24.83290176,71.24777819,390.4340119,2.906740639,1175.7825,28218.78,0,0,4877.523,117060.552,3080.783333,73938.8,7958.306333,190999.352,53.28395118,11
12,24.89760541,70.89622723,391.6433165,2.951352833,1127.665833,27063.98,0,0,4856.838,116564.112,3065.118333,73562.84,7921.956333,190126.952,66.19783601,11
13,24.93490489,70.49705826,385.7660125,3.006834469,1139.99,27359.76,0,0,4836.153,116067.672,3049.453333,73186.88,7885.606333,189254.552,74.41147165,11
14,24.7215496,69.01055969,382.7762112,3.121047774,1209.323333,29023.76,0,0,4869.249,116861.976,3072.950833,73750.82,7942.199833,190612.796,88.21839608,11
15,24.82723979,70.80640768,384.3425377,3.266664691,1094.125,26259,0,0,4869.249,116861.976,3072.950833,73750.82,7942.199833,190612.796,100.3486866,11
16,24.86548719,72.46212388,388.1060333,3.483390942,1073.335833,25760.06,0,0,4885.797,117259.128,3083.394167,74001.46,7969.191167,191260.588,107.1970929,11
17,24.4441478,73.74250882,393.149336,3.723999117,1031.38125,24753.15,0,0,4678.947,112294.728,2952.8525,70868.46,7631.7995,183163.188,108.1202535,11
18,24.8702931,73.75822635,394.4270325,3.012312258,1170.15625,28083.75,0,0,4687.221,112493.304,2958.074167,70993.78,7645.295167,183487.084,118.6705135,11
19,24.84348408,73.49585681,389.0247845,0.620432492,1080.88875,25941.33,0,0,4881.66,117159.84,3080.783333,73938.8,7962.443333,191098.64,128.5981814,11
20,24.98188449,72.73757129,381.3595779,1.524210006,1257.975833,30191.42,0,0,4877.523,117060.552,3078.1725,73876.14,7955.6955,190936.692,137.3726435,11
21,24.80997255,73.28266481,388.5873462,2.83304051,1089.946667,26158.72,0,0,4865.112,116762.688,3070.34,73688.16,7935.452,190450.848,145.2745175,11
22,24.9973114,75.25152077,384.7567945,2.87813125,1213.826667,29131.84,0,0,4881.66,117159.84,3080.783333,73938.8,7962.443333,191098.64,149.6347975,11
23,24.96012313,77.43597821,395.3360752,3.006768247,1188.750833,28530.02,0,0,4881.66,117159.84,3080.783333,73938.8,7962.443333,191098.64,152.2444216,11
24,24.91834628,79.15455784,391.027796,3.162777351,1144.385,27465.24,0,0,4873.386,116961.264,3075.561667,73813.48,7948.947667,190774.744,153.2840167,11
25,24.7648156,76.71846622,385.9699227,3.087376191,1061.279583,25470.71,0,0,4865.112,116762.688,3067.729167,73625.5,7932.841167,190388.188,158.8946107,11
26,24.48239765,77.61605091,392.7054655,3.008528728,1128.845833,27092.3,0,0,4885.797,117259.128,3083.394167,74001.46,7969.191167,191260.588,162.4793769,11
27,24.51416,78.31772722,394.0651511,3.125518738,1092.5175,26220.42,0,0,4881.66,117159.84,3080.783333,73938.8,7962.443333,191098.64,164.1502998,11
