DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,20.7230408,54.81270738,454.6370751,1.189315556,933.7058333,22408.94,8613.329796,206719.9151,731.07685,17545.8444,1244.453708,29866.889,10588.86035,254132.6485,1.248350005,10
1,20.52902772,55.03034727,447.2229167,1.223177607,756.4591667,18155.02,8601.340158,206432.1638,728.59465,17486.2716,1244.323167,29863.756,10574.25798,253782.1914,1.517448516,10
2,20.58379065,52.90411876,447.2350575,1.2190596,933.7058333,22408.94,8613.329796,206719.9151,731.07685,17545.8444,1244.453708,29866.889,10588.86035,254132.6485,1.932632896,10
3,20.55999994,49.67263881,448.8201389,1.222867354,813.8958333,19533.5,8614.232242,206741.5738,728.87045,17492.8908,1243.605188,29846.5245,10586.70788,254080.9891,2.425163276,10
4,21.00385287,51.85925999,448.0066092,1.217125677,756.4591667,18155.02,8601.340158,206432.1638,728.59465,17486.2716,1244.323167,29863.756,10574.25798,253782.1914,3.344095717,10
5,22.34763881,58.31377974,445.9201389,1.20246108,763.1,18314.4,8602.371525,206456.9166,730.5942,17534.2608,1244.192625,29860.623,10577.15835,253851.8004,3.986446683,10
6,23.1832618,57.00731848,449.6220538,1.198219136,883.1208333,21194.9,8590.124046,206162.9771,728.45675,17482.962,1243.474646,29843.3915,10562.05544,253489.3306,4.981859784,10
7,22.60650528,55.63376478,438.5233327,1.213742082,877.8195833,21067.67,8611.395983,206673.5036,730.52525,17532.606,1243.866271,29852.7905,10585.7875,254058.9001,6.017057221,10
8,22.21749608,65.10941262,448.4233949,1.223965536,831.47,19955.28,8601.340158,206432.1638,730.52525,17532.606,1243.278833,29838.692,10575.14424,253803.4618,7.24066845,10
9,22.15047641,69.98323055,440.3418582,1.087145707,855.4229167,20530.15,8615.134688,206763.2325,729.7668,17514.4032,1244.910604,29877.8545,10589.81209,254155.4902,8.855764214,10
10,23.32225807,71.41861162,425.012476,1.222361198,963.8720833,23132.93,8617.0685,206809.644,730.24945,17525.9868,1247.064542,29929.549,10594.38249,254265.1798,10.7331139,10
11,23.60286389,71.09883554,433.1267499,1.229039083,347.4191667,8338.06,8534.817008,204835.6082,724.6645,17391.948,1234.402,29625.648,10493.88351,251853.2042,11.99914233,10
12,22.64509439,71.25594504,428.2112884,1.240596329,826.7558333,19842.14,8500.395146,204009.4835,725.28505,17406.8412,1240.798542,29779.165,10466.47874,251195.4897,14.24088199,10
13,22.64644255,72.07859717,425.7833399,1.246390769,972.3883333,23337.32,8589.608363,206150.6007,728.04305,17473.0332,1241.777604,29802.6625,10559.42902,253426.2964,17.37645577,10
14,22.16702423,72.63178042,413.2072789,1.259612738,808.05875,19393.41,8036.537988,192876.9117,700.87675,16821.042,1215.277646,29166.6635,9952.692383,238864.6172,21.15815515,10
15,22.03486104,74.09071571,407.2805556,1.255146336,826.8070833,19843.37,8600.437713,206410.5051,728.04305,17473.0332,1242.495583,29819.894,10570.97635,253703.4323,24.86567238,10
16,23.30552454,73.88318601,406.8030656,1.245241479,948.3329167,22759.99,8617.584183,206822.0204,729.42205,17506.1292,1245.628583,29895.086,10592.63482,254223.2356,29.37489984,10
17,23.59820481,74.61310207,406.3861907,0.415291226,793.3745833,19040.99,8601.340158,206432.1638,728.18095,17476.3428,1242.756667,29826.16,10572.27778,253734.6666,32.76005657,10
18,23.04429338,76.72040361,398.7616517,0,876.53125,21036.75,8612.943033,206710.6328,730.3184,17527.6416,1247.260354,29934.2485,10590.52179,254172.5229,37.5559379,10
19,22.16330214,76.5848429,411.5469828,0.989737729,810.3045833,19447.31,8588.190233,206116.5656,728.112,17474.688,1243.148292,29835.559,10559.45053,253426.8126,43.26171901,10
20,23.22287106,75.01526945,410.5481765,1.242469758,941.5266667,22596.64,8587.287788,206094.9069,727.49145,17459.7948,1242.560854,29821.4605,10557.34009,253376.1622,48.74908133,10
21,22.91251623,76.87617961,407.5822797,0.552830891,854.02625,20496.63,8615.650371,206775.6089,730.80105,17539.2252,1248.043604,29953.0465,10594.49503,254267.8806,63.43623727,10
22,24.63510822,78.22896481,401.4064447,0.171755999,915.2708333,21966.5,8597.988217,206351.7172,729.83575,17516.058,1244.257896,29862.1895,10572.08186,253729.9647,74.67312123,10
23,25.49749838,77.7214751,401.5163117,0.447878562,948.54375,22765.05,8598.246058,206357.9054,729.28415,17502.8196,1243.735729,29849.6575,10571.26594,253710.3825,85.32350088,10
24,23.13140571,77.53561725,402.8596634,0,979.4625,23507.1,8615.52145,206772.5148,731.07685,17545.8444,1244.453708,29866.889,10591.05201,254185.2482,89.66081949,10
25,22.44941978,80.32329064,417.1860119,0.57628047,874.7641667,20994.34,8616.037133,206784.8912,728.3878,17481.3072,1245.302229,29887.2535,10589.72716,254153.4519,94.87589566,10
26,21.84745435,81.2064583,423.7158285,0,756.7783333,18162.68,8587.416708,206098.001,728.9394,17494.5456,1244.192625,29860.623,10560.54873,253453.1696,102.2090556,10
27,22.51476758,80.93352489,416.5983238,4.92E-07,832.9691667,19991.26,8605.465625,206531.175,728.45675,17482.962,1243.409375,29841.825,10577.33175,253855.962,109.5422156,10
