DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,case
0,31.00770815,46.77923597,450.6444444,1.27880151,511.3270833,12271.85,8737.996242,209711.9098,0,0,0,0,8737.996242,209711.9098,0.237154928,22
1,30.99673602,41.68798605,428.0854167,1.271538301,446.44,10714.56,8737.7384,209705.7216,0,0,0,0,8737.7384,209705.7216,0.502862199,22
2,29.22319447,39.41319446,451.9201389,1.30288223,542.0291667,13008.7,8733.612933,209606.7104,0,0,0,0,8733.612933,209606.7104,1.399736433,22
3,32.78006942,40.03479166,444.9694444,1.270077186,511.595,12278.28,8737.996242,209711.9098,0,0,0,0,8737.996242,209711.9098,1.759293957,22
4,30.43833328,40.40750004,436.7569444,1.311745424,415.7379167,9977.71,8737.480558,209699.5334,0,0,0,0,8737.480558,209699.5334,1.986428834,22
5,29.94999996,41.76090283,433.3770833,1.326083413,509.4516667,12226.84,8739.801133,209755.2272,0,0,0,0,8739.801133,209755.2272,2.285088359,22
6,28.9708391,48.20661251,447.6102872,1.348505743,476.0704167,11425.69,8737.996242,209711.9098,0,0,0,0,8737.996242,209711.9098,2.752224474,22
7,27.2697916,53.24182555,443.9604167,1.372797435,541.2254167,12989.41,8731.163438,209547.9225,0,0,0,0,8731.163438,209547.9225,2.775950245,22
8,27.63312486,52.86472219,436.7907486,1.377144919,494.1804167,11860.33,8732.968329,209591.2399,0,0,0,0,8732.968329,209591.2399,3.532747729,22
9,28.09805549,53.9506249,461.3104167,1.365097392,507.8441667,12188.26,8734.773221,209634.5573,0,0,0,0,8734.773221,209634.5573,4.080099679,22
10,30.11868041,56.83826377,453.9131944,1.32588586,447.7795833,10746.71,8737.7384,209705.7216,0,0,0,0,8737.7384,209705.7216,4.588152712,22
11,33.22780808,57.90629814,454.4159251,1.29567247,478.4816667,11483.56,8733.09725,209594.334,0,0,0,0,8733.09725,209594.334,4.871243321,22
12,34.06694425,57.78868059,435.7486111,1.289987757,415.47,9971.28,8732.839408,209588.1458,0,0,0,0,8732.839408,209588.1458,5.543810767,22
13,29.73469135,57.03430328,444.4405132,1.352522844,479.5533333,11509.28,7986.387783,191673.3068,224.57015,5389.6836,141.1155417,3386.773,8352.073475,200449.7634,5.939825145,22
14,30.37757985,57.45796845,442.1264595,1.359180444,511.595,12278.28,4364.485892,104747.6614,1398.0302,33552.7248,880.5035417,21132.085,6643.019633,159432.4712,6.471448466,22
15,32.60819314,56.74798617,435.1166667,1.333663491,575.4104167,13809.85,4361.907475,104685.7794,1396.72015,33521.2836,877.1747292,21052.1935,6635.802354,159259.2565,7.251269744,22
16,33.48076386,55.89493058,446.1180556,1.325480317,447.24375,10733.85,4362.294238,104695.0617,1396.85805,33524.5932,880.9604375,21143.0505,6640.112725,159362.7054,8.106763558,22
17,28.79329542,56.40704545,430.5948864,1.408897883,479.82125,11515.71,4361.649633,104679.5912,1397.7544,33546.1056,880.764625,21138.351,6640.168658,159364.0478,8.774445016,22
18,29.4089583,56.92486117,438.2291667,1.415578667,509.7195833,12233.27,4363.712367,104729.0968,1397.96125,33551.07,881.2867917,21150.883,6642.960408,159431.0498,9.581688869,22
19,30.21756933,56.36076386,439.6694444,1.418419755,463.74625,11129.91,4363.712367,104729.0968,1397.40965,33537.8316,877.5010833,21060.026,6638.6231,159326.9544,10.88959575,22
20,28.71555547,56.1990972,446.1909722,1.448782571,446.9758333,10727.42,4361.391792,104673.403,1396.927,33526.248,881.0909792,21146.1835,6639.409771,159345.8345,12.93949427,22
21,28.74097565,54.83903136,442.9871234,1.470464797,447.24375,10733.85,4364.22805,104741.4732,1396.927,33526.248,881.8089583,21163.415,6642.964008,159431.1362,14.3010458,22
22,28.14238484,54.81688698,451.9957615,1.496483042,511.3270833,12271.85,4364.099129,104738.3791,1396.85805,33524.5932,880.8298958,21139.9175,6641.787075,159402.8898,16.36449232,22
23,29.18194437,55.95687503,426.6875,1.511152924,495.2520833,11886.05,4364.614813,104750.7555,1397.2028,33532.8672,877.3052708,21055.3265,6639.122883,159338.9492,18.97604436,22
24,28.39521645,55.73399243,438.3836629,1.556304137,543.6366667,13047.28,4363.970208,104735.285,1397.82335,33547.7604,879.7202917,21113.287,6641.51385,159396.3324,21.00720043,22
25,30.58384317,55.07050771,429.900455,1.576291495,415.47,9971.28,4359.844742,104636.2738,1396.99595,33527.9028,880.6340833,21135.218,6637.474775,159299.3946,23.13789806,22
26,28.33087332,55.62942561,430.5398187,1.656775353,447.5116667,10740.28,4363.841288,104732.1909,1397.6165,33542.796,880.9604375,21143.0505,6642.418225,159418.0374,25.8299547,22
27,27.00059661,56.55926432,454.1417137,1.561576251,527.5616667,12661.48,4357.524167,104580.58,1396.16855,33508.0452,878.3496042,21080.3905,6632.042321,159169.0157,29.47227736,22
