"","DAT","내부온도관측치","내부습도관측치","co2관측치","ec관측치","시간당분무량","일간누적분무량","시간당백색광량","일간누적백색광량","시간당적색광량","일간누적적색광량","시간당청색광량","일간누적청색광량","시간당총광량","일간누적총광량","predicted_weight_g","case"
"1",0,24.6936514604167,54.7496359345833,421.1606827875,2.66717262304167,879.2675,21102.42,0,0,3881.885,93165.24,3753.07291666667,90073.75,7634.95791666667,183238.99,3.34299835571874,14
"2",1,26.2618285870833,44.1795754333333,423.9381169,2.66750271408333,888.319583333333,21319.67,0,0,3544.03,85056.72,3452.82708333333,82867.85,6996.85708333333,167924.57,4.7026552862392,14
"3",2,24.9425920633333,36.7862398729167,444.654548095833,2.70784286404167,960.867916666667,23060.83,0,0,3792.25,91014,3792.23541666667,91013.65,7584.48541666667,182027.65,5.34442763423997,14
"4",3,24.8931971066667,42.2226126158333,437.5723765,2.73426075541667,980.049583333333,23521.19,0,0,4130.105,99122.52,3413.66458333333,81927.95,7543.76958333333,181050.47,6.4699060936307,14
"5",4,25.3432852545833,49.3691074254167,426.267130883333,2.75732778020833,750.507916666667,18012.19,0,0,3523.345,84560.28,2676.10416666667,64226.5,6199.44916666667,148786.78,7.88574044918344,14
"6",5,24.93297549875,47.8381239079167,436.383172554167,2.83922027320833,571.066666666667,13705.6,0,0,4433.485,106403.64,567.85625,13628.55,5001.34125,120032.19,11.260765022765,14
"7",6,25.4457427675,37.7670469433333,435.235775866667,2.81931879925,571.066666666667,13705.6,0,0,1330.735,31937.64,4164.27916666667,99942.7,5495.01416666667,131880.34,14.806262705764,14
"8",7,25.01204351625,35.402156875,434.698114325,2.87346501329167,1142.93708333333,27430.49,0,0,4412.8,105907.2,4144.69791666667,99472.75,8557.49791666667,205379.95,17.4276784354019,14
"9",8,25.0774014183333,41.4526914070833,433.457159920833,2.93012941175,1098.67958333333,26368.31,0,0,4405.905,105741.72,4164.27916666667,99942.7,8570.18416666667,205684.42,22.6227351487845,14
"10",9,25.0047381729167,49.7960487575,430.565217691667,3.01020861379167,1172.5675,28141.62,0,0,4405.905,105741.72,4183.86041666667,100412.65,8589.76541666667,206154.37,28.7906385227553,14
"11",10,25.4961826033333,56.09693278,411.884922929167,3.04607851983333,1034.06041666667,24817.45,0,0,4399.01,105576.24,4033.7375,96809.7,8432.7475,202385.94,35.3280395124058,14
"12",11,25.5915920816667,62.1964892441667,401.830046708333,3.16502796979167,1045.20458333333,25084.91,0,0,4412.8,105907.2,4164.27916666667,99942.7,8577.07916666667,205849.9,39.5938385880675,14
"13",12,25.169136355,63.2933353108333,393.463025733333,3.02966731441667,1056.2975,25351.14,0,0,4412.8,105907.2,4177.33333333333,100256,8590.13333333333,206163.2,49.9582673433329,14
"14",13,25.4217136545833,67.0363694820833,396.393002591667,2.862027311625,996.124583333333,23906.99,0,0,4399.01,105576.24,4170.80625,100099.35,8569.81625,205675.59,60.6404995401479,14
"15",14,31.7313526745833,73.4923549858333,383.774059391667,2.831529456625,1171.33625,28112.07,0,0,4378.325,105079.8,4196.91458333333,100725.95,8575.23958333333,205805.75,67.9128053973784,14
"16",15,32.7961634254167,75.1718311758333,383.456342541667,3.01458690229167,1111.32291666667,26671.75,0,0,4412.8,105907.2,4190.3875,100569.3,8603.1875,206476.5,82.5539651674657,14
"17",16,27.8942646708333,75.4551030654167,392.778466345833,3.34603827870833,1063.26333333333,25518.32,0,0,4399.01,105576.24,4164.27916666667,99942.7,8563.28916666667,205518.94,90.4238840887724,14
"18",17,26.18982702875,75.2944503104167,387.895896579167,3.54047253933333,1199.895,28797.48,0,0,4378.325,105079.8,4151.225,99629.4,8529.55,204709.2,109.836316523013,14
"19",18,25.3705911166667,75.3308812925,392.652837683333,3.811703686625,1087.15916666667,26091.82,0,0,4392.115,105410.76,4183.86041666667,100412.65,8575.97541666667,205823.41,123.825265152142,14
"20",19,25.22140005375,74.5721509275,388.524881225,3.99809790483333,1179.425,28306.2,0,0,4385.22,105245.28,4196.91458333333,100725.95,8582.13458333333,205971.23,133.821256657291,14
"21",20,25.4261850733333,74.9876612804167,390.496682025,4.320774993,936.43625,22474.47,0,0,4412.8,105907.2,3485.4625,83651.1,7898.2625,189558.3,140.942179120207,14
"22",21,24.9605581175,72.73462106875,386.419194625,4.57738380816667,1126.48583333333,27035.66,0,0,4419.695,106072.68,4151.225,99629.4,8570.92,205702.08,151.059451092823,14
"23",22,25.0737490666667,72.6960839629167,385.832312295833,1.67131164808333,1111.59083333333,26678.18,0,0,4419.695,106072.68,4177.33333333333,100256,8597.02833333333,206328.68,156.237593221015,14
"24",23,25.0538711058333,71.6631156408333,394.5088747625,1.69216140029167,1188.48291666667,28523.59,0,0,4412.8,105907.2,4157.75208333333,99786.05,8570.55208333333,205693.25,156.999678008753,14
"25",24,24.7465371666667,74.4666717958333,401.177483604167,3.40546101054167,1189.44625,28546.71,0,0,4392.115,105410.76,3890.14166666667,93363.4,8282.25666666667,198774.16,156.36407628302,14
"26",25,25.1759046275,74.1376538020833,395.736151675,3.503637299625,1261.45875,30275.01,0,0,4412.8,105907.2,4027.21041666667,96653.05,8440.01041666667,202560.25,156.394870090933,14
"27",26,25.1103323895833,74.0974735933333,392.064965058333,1.09853092879167,1219.34458333333,29264.27,0,0,4385.22,105245.28,4177.33333333333,100256,8562.55333333333,205501.28,158.900840289628,14
"28",27,25.2330213929167,73.2835319495833,381.125956075,1.54546825933333,1063.42291666667,25522.15,0,0,4378.325,105079.8,4170.80625,100099.35,8549.13125,205179.15,161.406810488324,14
