DAT,?¥Î??®ÎèÑÍ¥ÄÏ∏°Ïπò,?¥Î??µÎèÑÍ¥ÄÏ∏°Ïπò,co2Í¥ÄÏ∏°Ïπò,ecÍ¥ÄÏ∏°Ïπò,?úÍ∞Ñ?πÎ∂ÑÎ¨¥Îüâ,"?ºÍ∞Ñ?ÑÏ†ÅÎ∂ÑÎ¨¥??,?úÍ∞Ñ?πÎ∞±?âÍ¥ë??",?ºÍ∞Ñ?ÑÏ†ÅÎ∞±ÏÉâÍ¥ëÎüâ,"?úÍ∞Ñ?πÏ†Å?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†Å?ÅÏÉâÍ¥ëÎüâ""","?úÍ∞Ñ?πÏ≤≠?âÍ¥ë??,?ºÍ∞Ñ?ÑÏ†ÅÏ≤?ÉâÍ¥ëÎüâ""",?úÍ∞Ñ?πÏ¥ùÍ¥ëÎüâ,"?ºÍ∞Ñ?ÑÏ†ÅÏ¥ùÍ¥ë??,predicted_weight_g""",case,,,,
0,27.03070924,78.06128959,535.0942956,1.393615994,165.0529167,3961.27,10653.24414,255677.8594,570.7681,13698.4344,0,0,11224.01224,269376.2938,0.167719388,1
1,27.5427513,78.07504074,523.98659,1.384430622,165.8566667,3980.56,10680.1886,256324.5263,571.1818,13708.3632,0,0,11251.3704,270032.8895,0.181787272,1
2,26.67848168,77.5900483,539.23617,1.39274518,170.5708333,4093.7,10655.17795,255724.2709,569.8028,13675.2672,0,0,11224.98075,269399.5381,0.265921009,1
3,26.15733514,77.36609107,760.1503296,1.401297587,165.8566667,3980.56,10680.1886,256324.5263,571.1818,13708.3632,0,0,11251.3704,270032.8895,0.423650023,1
4,26.52289073,78.13165027,539.535758,1.403796167,163.98125,3935.55,10659.56126,255829.4703,570.0786,13681.8864,0,0,11229.63986,269511.3567,0.475272432,1
5,26.67848168,77.5900483,539.23617,1.39274518,163.98125,3935.55,10659.56126,255829.4703,570.0786,13681.8864,0,0,11229.63986,269511.3567,1.941879055,1
6,26.62704563,77.89688383,542.8686185,1.403315649,169.7670833,4074.41,10644.47753,255467.4606,569.2512,13662.0288,0,0,11213.72873,269129.4894,2.330900873,1
7,26.52289073,78.13165027,539.535758,1.403796167,168.6954167,4048.69,10673.48471,256163.6331,570.69915,13696.7796,0,0,11244.18386,269860.4127,3.503248572,1
8,25.69840277,77.90388896,572.9861111,1.418729676,171.9104167,4125.85,10638.03148,255312.7556,569.59595,13670.3028,0,0,11207.62743,268983.0584,4.45823929,1
9,25.68513994,78.05998249,544.96383,1.427336582,169.7670833,4074.41,10644.47753,255467.4606,569.2512,13662.0288,0,0,11213.72873,269129.4894,5.315630263,1
10,25.6144132,78.56938231,724.6931287,1.430601753,171.6425,4119.42,10648.86083,255572.66,569.527,13668.648,0,0,11218.38783,269241.308,6.233782216,1
11,25.65311909,78.74524654,610.0994971,1.431732367,164.5170833,3948.41,10645.50889,255492.2134,569.18225,13660.374,0,0,11214.69114,269152.5874,7.77475054,1
12,25.3892809,79.10070132,568.4749529,1.440733006,165.58875,3974.13,10649.8922,255597.4128,569.45805,13666.9932,0,0,11219.35025,269264.406,9.447175525,1
13,25.74999988,79.42173619,530.9451389,1.439033633,160.2304167,3845.53,10658.14313,255795.4352,569.2512,13662.0288,0,0,11227.39433,269457.464,11.2070199,1
14,25.57618052,80.00590283,515.6972222,1.440879999,167.8916667,4029.4,10648.34515,255560.2836,570.14755,13683.5412,0,0,11218.4927,269243.8248,14.39932577,1
15,25.39580267,80.69034724,605.6659722,1.450435978,167.8916667,4029.4,10638.54717,255325.132,569.2512,13662.0288,0,0,11207.79837,268987.1608,17.79280339,1
16,25.37526586,80.9043044,619.3571799,1.442871381,166.1245833,3986.99,10643.31724,255439.6137,569.04435,13657.0644,0,0,11212.36159,269096.6781,21.65776372,1
17,25.48069451,81.61062498,555.3520833,1.433442557,167.19625,4012.71,10646.02458,255504.5898,569.9407,13678.5768,0,0,11215.96528,269183.1666,26.52055283,1
18,25.44242811,82.03580867,640.883863,1.426724799,165.3208333,3967.7,10648.86083,255572.66,568.148,13635.552,0,0,11217.00883,269208.212,32.53345453,1
19,27.73725318,82.63908998,594.4152059,1.429829647,166.6604167,3999.85,10635.96875,255263.25,568.8375,13652.1,0,0,11204.80625,268915.35,39.54171472,1
20,28.1218056,82.17861113,531.35,1.433186903,171.1066667,4106.56,10623.07667,254953.84,568.8375,13652.1,0,0,11191.91417,268605.94,47.53848007,1
21,27.93387206,82.20505994,519.5319205,1.451820202,166.1245833,3986.99,10648.86083,255572.66,569.527,13668.648,0,0,11218.38783,269241.308,55.84064791,1
